store,list,_name_,FACTS,M_2014_01,M_2014_02,M_2014_03,M_2014_04,M_2014_05,M_2014_06,M_2014_07,M_2014_08,M_2014_09,M_2014_10,M_2014_11,M_2014_12,M_2015_01,M_2015_02,M_2015_03,M_2015_04,M_2015_05,M_2015_06,M_2015_07,M_2015_08,M_2015_09,M_2015_10,M_2015_11,M_2015_12,M_2016_01,M_2016_02,M_2016_03,M_2016_04,M_2016_05,M_2016_06,YEAR_2014_COMMON,YEAR_2014_NONCOMMON,YEAR_2015_COMMON,YEAR_2015_NONCOMMON,YEAR_2016_COMMON
' Pandora Acropoleos,Lch,Avg_basket,Average Basket,,,,,,11.32,4.044,5.5078947368421,5.01516520566419,5.13660229330114,5.32072347266881,5.6733723892002,5.47183919114105,5.38225422953818,5.0880082366155,5.68576539589442,5.26179625779625,5.1324449339207,5.06442174090723,5.34831024930748,5.0536175616836,5.0503515625,4.90244124868467,5.47982819074333,5.26242380261248,5.05593190593191,5.0383728379244,5.32593759848723,5.30831575246132,5.27626178390138,11.32,5.32002732951587,5.31172136687945,5.14425793051359,5.20999714318363
' Pandora Acropoleos,Lch,Avg_price_item,Average Price Per Item,,,,,,1.67579570688379,1.5292693994857,1.49284299420429,1.61681050411947,1.76514810582572,1.81936742958714,1.97902946643399,1.88901133239588,1.87399740814682,1.79474152685627,1.94533173600785,1.80981692483492,1.87860381569103,1.85591910575437,1.86096617488305,1.75256446392889,1.77456723852447,1.77098480260107,1.99611849138442,1.86378157761494,1.82555383757477,1.92456537671429,1.98804996006065,1.92269778945505,1.84652759272653,1.67579570688379,1.77024995810286,1.85889711320664,1.83316369557611,1.89660571664615
' Pandora Acropoleos,Lch,Avg_quantity,Average Quantity Purchased,,,,,,6.755,2.6444,3.68953383458646,3.10188806473364,2.91001207000603,2.92449088960343,2.8667447784004,2.89666827154549,2.87207133058984,2.83495320104829,2.92277419354838,2.90736382536382,2.73205286343612,2.72879444217409,2.87394275161588,2.88355587808417,2.84596235795454,2.76820063135741,2.74524193548387,2.82351959361393,2.76953316953317,2.61792761050608,2.67897573274503,2.76086849507735,2.85739666424945,6.755,3.00524076002082,2.85745850544498,2.80621852970795,2.74701119872014
' Pandora Acropoleos,Lch,Avg_spend,Average Spending,,,,,,22.64,15.5538461538461,18.6875,23.9919032258064,25.0333823529411,26.2657936507936,26.3282033096926,23.8260167714884,23.9735030549898,23.3506357388316,21.0744130434782,23.0503096539162,21.6554832713754,20.8279663865546,21.1394890510949,23.135830564784,22.1523208722741,23.1404966887417,23.1532888888888,19.0081782437746,22.2289351851852,21.6365887207702,23.3737206085753,22.1686490455212,20.5535734463276,22.64,60.4720266272189,62.6999734042553,58.6733452979181,54.9640566606389
' Pandora Acropoleos,Lch,Avg_visits,Average Visits,,,,,,2,3.84615384615384,3.39285714285714,4.78387096774193,4.8735294117647,4.93650793650793,4.64066193853428,4.35429769392033,4.45417515274949,4.5893470790378,3.70652173913043,4.38069216757741,4.21933085501858,4.1126050420168,3.95255474452554,4.57807308970099,4.38629283489096,4.72019867549668,4.22518518518518,3.61205766710353,4.3966049382716,4.29436038514443,4.38865836791148,4.17621145374449,3.8954802259887,2,11.3668639053254,11.8040780141843,11.4055994256999,10.5497287522603
' Pandora Acropoleos,Nlch,Sales,Sales,58299.3299999958,51624.2399999988,58264.0599999958,60898.5299999959,58979.6999999939,55361.0700000009,55224.7000000008,48248.5299999998,49234.0499999999,48319.289999999,42994.6300000004,47154.6200000009,43409.0200000012,39187.4900000007,42923.8300000011,48634.060000001,43036.1600000006,39969.1200000015,38633.070000001,36912.6600000008,39683.4000000008,39324.4900000004,37489.0899999998,40402.6199999999,36537.7700000011,35408.8000000011,38266.6600000013,40783.2900000009,38169.7200000002,36546.4400000007,343426.929999981,291175.820000001,257159.680000006,232445.330000003,225712.680000005
' Pandora Acropoleos,Nlch,Salesonstore,Sales % On Total Store Sales,1,1,1,1,1,0.99959121553973,0.99635195185009,0.92944211739722,0.86876146298477,0.85023307849427,0.81239817773335,0.80894573732511,0.79251097646093,0.7690082200254,0.75952694823751,0.83379883072176,0.77276992708667,0.77429868439941,0.75712949413149,0.76113128413864,0.74020768433145,0.73440190429662,0.72842510436511,0.72107503173684,0.71585123413506,0.71083238060633,0.70868831030775,0.7070306777672,0.71657927289104,0.71521733472124,0.99993408056967,0.87689057210447,0.78429779930631,0.73985399327068,0.71225644966891
' Pandora Acropoleos,Nlch,Salesontotal,Sales % On National Sales,0.05982950857087,0.05960836502475,0.05720202265058,0.05828637091536,0.06059373657295,0.06330014073489,0.06303254155242,0.05202332924386,0.05352791538183,0.05075548421485,0.04624978017853,0.04519103820804,0.04404528899531,0.04387330557192,0.04208983135593,0.04679954588118,0.04437243499234,0.04405281798976,0.04298168096774,0.03965675304601,0.04142430877071,0.03985915351054,0.03875665708781,0.0359402172189,0.03616397660631,0.03760302966015,0.03664634935883,0.0362307437871,0.03684998460099,0.03779809988697,0.05970765675176,0.05154993145051,0.04422388513821,0.03962825579534,0.03685374544432
' Pandora Acropoleos,Nlch,Visits,Visits,12643,11529,12736,12580,13025,12416,12422,10844,11362,11011,9800,10017,9668,8732,10017,10620,9967,9497,9249,8655,9628,9248,8860,9145,8520,8243,8886,9317,9040,8806,74929,65456,58501,54785,52812
' Pandora Acropoleos,Nlch,Quantity,Quantity,36370.25,32187.54,36344.25,34832.86,36987.47,37837.47,40971.94,34786,33471.24,31134.15,26848.95,26153.76,25671.04,23734.8799999999,26437.57,27755.9199999999,24105.06,22217.73,21835.69,20886.08,22336.7499999999,22113.37,20977.5999999999,21313.59,19845.75,19221.83,20142.56,20711.82,20426.53,20772.01,214559.84,193366.04,149922.2,129463.08,121120.5
