"cardcode","Store","RFM (MAY15-JUN15)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","RFM (MAR16-APR16)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","RFM (MAY16-JUN16)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","Score Difference with Y_Ago","RFM Lights with Y_Ago (MAY15-JUN15)","Score Difference with Previous","RFM Lights with Previous (MAR16-APR16)"
'80000072,National,132,0.25,Pandora Ayios Antonios,1,3,2,53,4,15.7,0.00%,212,0.188,Pandora Ayios Antonios - Pandora Kaimakli,2,1,2,16,2,17.71,0.00%,,,,,,,,,,,,Black,,Black
'80000073,National,,,,,,,,,,,,,,,,,,,,,532,0.5,Pandora Tseriou - Pandora Kaimakli - Pandora Prodromou,5,3,2,1,5,18.91,0.00%,,White,,White
'80000074,National,,,,,,,,,,,212,0.188,Pandora Ayios Antonios,2,1,2,14,1,11.94,0.00%,,,,,,,,,,,,,,Black
'80000075,National,232,0.313,Pandora Ayios Antonios,2,3,2,13,4,16.78,0.00%,332,0.375,Pandora Ayios Antonios - Pandora Kaimakli,3,3,2,7,5,21.15,0.00%,532,0.5,Pandora Ayios Antonios,5,3,2,0,4,14.24,0.00%,59.74%,Blue,33.33%,Green
'80000079,National,532,0.5,Pandora Ayios Antonios - Pandora Kaimakli,5,3,2,1,6,19.23,0.00%,232,0.313,Pandora Kaimakli,2,3,2,18,4,13.31,0.00%,131,0.125,Pandora Kaimakli,1,3,1,32,4,9.61,0.00%,(  75.00%),Red,(  60.06%),Red
'80000080,National,544,0.813,Pandora Ayios Antonios,5,4,4,0,12,71.28,0.00%,533,0.625,Pandora Ayios Antonios,5,3,3,0,5,32.36,0.00%,322,0.313,Pandora Ayios Antonios,3,2,2,10,3,18.85,0.00%,(  61.50%),Red,(  49.92%),Red
'80000083,National,544,0.813,Pandora Ayios Antonios - Pandora Prodromou,5,4,4,1,12,48.8,0.00%,211,0.063,Pandora Acropoleos - Pandora Prodromou,2,1,1,18,2,6.41,0.00%,321,0.188,Pandora Athalassas - Pandora Prodromou,3,2,1,8,2,4.8,0.00%,(  76.88%),Red,198.41%,Blue
'80000084,National,555,1,Pandora Ayios Antonios - Pandora Athalassas,5,5,5,0,29,183.74,0.00%,555,1,Pandora Ayios Antonios,5,5,5,1,31,239.66,0.00%,455,0.938,Pandora Ayios Antonios,4,5,5,2,20,153.24,0.00%,(   6.20%),Yellow,(   6.20%),Yellow
'80000085,National,211,0.063,Pandora Ayios Antonios,2,1,1,20,1,1.24,0.00%,455,0.938,Pandora Ayios Antonios,4,5,5,3,20,95.63,0.00%,444,0.75,Pandora Ayios Antonios,4,4,4,4,11,64.1,0.00%,1090.48%,Blue,(  20.04%),Yellow
'80000087,National,112,0.125,Pandora Ayios Antonios,1,1,2,39,1,14.13,0.00%,211,0.063,Pandora Tseriou,2,1,1,19,1,2.95,0.00%,432,0.438,Pandora Ayios Antonios - Pandora Tseriou,4,3,2,5,5,16.71,0.00%,250.40%,Blue,595.24%,Blue
'80000088,National,,,,,,,,,,,,,,,,,,,,,111,0,Pandora Ayios Antonios,1,1,1,54,1,7.56,0.00%,,White,,White
'80000089,National,524,0.688,Pandora Ayios Antonios - Pandora Kaimakli,5,2,4,1,3,45.24,0.00%,555,1,Pandora Ayios Antonios - Pandora Kaimakli,5,5,5,0,22,104.24,0.00%,555,1,Pandora Ayios Antonios,5,5,5,0,18,131,0.00%,45.35%,Green,0.00%,Green
'80000090,National,211,0.063,Pandora Kaimakli,2,1,1,26,1,8.93,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80000091,National,555,1,Pandora Ayios Antonios,5,5,5,0,56,436.06,0.00%,355,0.875,Pandora Ayios Antonios,3,5,5,5,48,467.35,5.50%,555,1,Pandora Ayios Antonios,5,5,5,0,32,303.73,0.42%,0.00%,Green,14.29%,Green
'80000094,National,,,,,,,,,,,411,0.188,Pandora Ayios Antonios,4,1,1,3,1,6.43,0.00%,,,,,,,,,,,,,,Black
'80000096,National,555,1,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Acropoleos - Pandora Athalassas - Pandora Prodromou,5,5,5,0,27,182.34,2.35%,555,1,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Prodromou,5,5,5,1,16,92.16,0.00%,354,0.75,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Prodromou,3,5,4,7,13,48.39,0.00%,(  25.00%),Yellow,(  25.00%),Yellow
'80000097,National,555,1,Pandora Ayios Antonios,5,5,5,1,113,442.89,0.00%,555,1,Pandora Ayios Antonios,5,5,5,1,73,350.84,1.63%,555,1,Pandora Ayios Antonios - Pandora Tseriou - Pandora Kaimakli,5,5,5,0,70,271.65,6.31%,0.00%,Green,0.00%,Green
'80000099,National,,,,,,,,,,,,,,,,,,,,,111,0,Pandora Ayios Antonios,1,1,1,49,1,9.53,0.00%,,White,,White
'80000100,National,212,0.188,Pandora Ayios Antonios,2,1,2,17,2,20.47,0.00%,211,0.063,Pandora Ayios Antonios,2,1,1,18,2,7.14,0.00%,234,0.563,Pandora Ayios Antonios - Pandora Kaimakli,2,3,4,27,5,50.16,0.00%,199.47%,Blue,793.65%,Blue
'80000101,National,555,1,Pandora Ayios Antonios - Pandora Tseriou,5,5,5,1,33,193.77,0.00%,555,1,Pandora Ayios Antonios - Pandora Tseriou,5,5,5,0,33,178.27,0.00%,455,0.938,Pandora Ayios Antonios - Pandora Tseriou,4,5,5,5,24,197.77,1.16%,(   6.20%),Yellow,(   6.20%),Yellow
'80000102,National,212,0.188,Pandora Prodromou,2,1,2,18,1,16.47,0.00%,,,,,,,,,,,212,0.188,Pandora Athalassas,2,1,2,29,1,12.07,0.00%,0.00%,Green,,White
'80000103,National,355,0.875,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Athalassas - Pandora Prodromou,3,5,5,6,24,169.32,0.00%,555,1,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Tseriou - Pandora Prodromou,5,5,5,1,27,290.38,0.00%,455,0.938,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Athalassas,4,5,5,3,18,129.48,0.00%,7.20%,Green,(   6.20%),Yellow
'80000104,National,,,,,,,,,,,432,0.438,Pandora Ayios Antonios,4,3,2,3,4,16.29,0.00%,433,0.563,Pandora Ayios Antonios,4,3,3,4,6,26.64,0.00%,,White,28.54%,Green
'80000105,National,333,0.5,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Acropoleos - Pandora Athalassas,3,3,3,6,6,30.22,0.00%,444,0.75,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Kaimakli - Pandora Athalassas,4,4,4,4,9,53.99,0.00%,233,0.438,Pandora Agios Dometios - Pandora Tseriou,2,3,3,26,5,30.08,0.00%,(  12.40%),Yellow,(  41.60%),Red
'80000106,National,555,1,Pandora Ayios Antonios,5,5,5,0,40,272.22,0.00%,555,1,Pandora Ayios Antonios,5,5,5,1,31,217.79,0.52%,455,0.938,Pandora Ayios Antonios,4,5,5,3,15,113.5,1.00%,(   6.20%),Yellow,(   6.20%),Yellow
'80000109,National,555,1,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Tseriou - Pandora Kaimakli - Pandora Athalassas - Pandora Prodromou,5,5,5,0,120,991.88,1.05%,555,1,Pandora Ayios Antonios - Pandora Tseriou - Pandora Athalassas - Pandora Prodromou,5,5,5,0,128,1612.56,1.43%,555,1,Pandora Ayios Antonios - Pandora Tseriou - Pandora Kaimakli - Pandora Athalassas - Pandora Prodromou,5,5,5,0,115,1439.81,0.74%,0.00%,Green,0.00%,Green
'80000110,National,211,0.063,Pandora Acropoleos,2,1,1,13,1,4.77,0.00%,411,0.188,Pandora Prodromou,4,1,1,3,2,9.52,0.00%,422,0.375,Pandora Ayios Antonios - Pandora Prodromou,4,2,2,5,2,11.15,0.00%,495.24%,Blue,99.47%,Blue
'80000112,National,455,0.938,Pandora Ayios Antonios,4,5,5,2,23,404.41,0.00%,335,0.75,Pandora Ayios Antonios,3,3,5,6,5,95.82,6.96%,534,0.75,Pandora Ayios Antonios - Pandora Agios Dometios,5,3,4,0,6,66.9,0.00%,(  20.04%),Yellow,0.00%,Green
'80000114,National,444,0.75,Pandora Ayios Antonios,4,4,4,3,11,67.92,0.00%,122,0.188,Pandora Ayios Antonios,1,2,2,37,3,15.72,0.00%,344,0.688,Pandora Ayios Antonios,3,4,4,13,7,46.73,0.00%,(   8.27%),Yellow,265.96%,Blue
'80000115,National,245,0.75,Pandora Ayios Antonios,2,4,5,14,10,136.12,0.00%,455,0.938,Pandora Ayios Antonios,4,5,5,3,25,464.65,0.00%,555,1,Pandora Ayios Antonios,5,5,5,0,19,212.83,0.00%,33.33%,Green,6.61%,Green
'80000116,National,,,,,,,,,,,,,,,,,,,,,111,0,Pandora Ayios Antonios,1,1,1,43,1,4.38,0.00%,,White,,White
'80000121,National,132,0.25,Pandora Kaimakli - Pandora Athalassas,1,3,2,38,6,14.95,0.00%,531,0.375,Pandora Ayios Antonios - Pandora Tseriou - Pandora Kaimakli,5,3,1,1,4,9.62,0.00%,121,0.063,Pandora Kaimakli - Pandora Athalassas,1,2,1,48,2,5.9,0.00%,(  74.80%),Red,(  83.20%),Red
'80000122,National,212,0.188,Pandora Ayios Antonios,2,1,2,22,2,15.99,0.00%,522,0.438,Pandora Kaimakli,5,2,2,0,3,18.95,0.00%,244,0.625,Pandora Ayios Antonios - Pandora Kaimakli,2,4,4,15,10,58.56,0.00%,232.45%,Blue,42.69%,Green
'80000123,National,555,1,Pandora Agios Dometios - Pandora Tseriou - Pandora Prodromou,5,5,5,0,48,269.7,5.86%,243,0.5,Pandora Agios Dometios - Pandora Tseriou - Pandora Athalassas,2,4,3,15,10,39.03,0.00%,534,0.75,Pandora Agios Dometios,5,3,4,1,6,43.01,2.44%,(  25.00%),Yellow,50.00%,Green
'80000124,National,355,0.875,Pandora Ayios Antonios - Pandora Kaimakli,3,5,5,9,16,126.33,0.00%,555,1,Pandora Ayios Antonios - Pandora Kaimakli,5,5,5,0,37,177.98,0.00%,555,1,Pandora Kaimakli,5,5,5,0,51,268.29,0.00%,14.29%,Green,0.00%,Green
'80000126,National,,,,,,,,,,,111,0,Pandora Agios Dometios,1,1,1,56,1,2.66,0.00%,,,,,,,,,,,,,,Black
'80000129,National,,,,,,,,,,,221,0.125,Pandora Ayios Antonios - Pandora Kaimakli,2,2,1,16,3,5.76,0.00%,222,0.25,Pandora Ayios Antonios - Pandora Kaimakli,2,2,2,27,2,10.34,0.00%,,White,100.00%,Blue
'80000132,National,111,0,Pandora Ayios Antonios,1,1,1,30,1,2.95,0.00%,112,0.125,Pandora Ayios Antonios,1,1,2,54,1,14.29,0.00%,,,,,,,,,,,,Black,,Black
'80000133,National,543,0.688,Pandora Tseriou - Pandora Kaimakli,5,4,3,0,7,35.82,0.00%,343,0.563,Pandora Ayios Antonios,3,4,3,6,10,43.92,0.00%,111,0,Pandora Ayios Antonios,1,1,1,30,1,2.38,0.00%,( 100.00%),Red,( 100.00%),Red
'80000134,National,111,0,Pandora Agios Dometios,1,1,1,35,1,1.52,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
